gold_per_min,level,leaver_status,xp_per_min,radiant_score,gold_spent,deaths,denies,hero_damage,tower_damage,last_hits,hero_healing,duration,radiant_win
2709,120,0,3636,15,78105,32,55,250784,7803,471,9233,1886,0
4466,132,0,7944,15,81750,37,22,62493,3756,313,680,1089,0
2843,79,1,2535,38,51965,17,60,51550,19552,486,2790,1278,1
2383,121,0,3062,31,75385,44,91,108218,11311,1004,11435,2236,0
2683,150,1,4059,56,114325,68,73,235473,11261,1106,6207,3231,0
2647,149,0,3760,49,124095,46,71,187401,11926,1174,12499,3087,1
2937,144,0,3599,49,113195,43,49,159959,24553,1324,3727,2878,1
5556,135,0,9464,29,70890,17,28,74122,16891,188,5315,875,1
3110,81,0,3143,28,47815,22,50,51712,13420,448,6277,1067,1
3236,150,0,3939,54,140925,78,36,283684,18871,1573,8822,3524,1
5538,150,0,9183,35,106620,29,22,129611,16319,388,524,1314,1
3074,137,0,3788,35,99275,31,99,128514,28047,1159,6217,2304,1
1720,92,0,2246,14,43260,48,34,84421,3779,458,981,1828,0
1957,108,0,2811,18,61565,61,45,87909,10681,633,0,2106,0
6489,147,0,8638,39,140195,23,35,113263,19558,675,14488,1400,1
2683,133,0,3846,42,89460,44,36,115463,12389,855,3939,2110,1
2475,147,0,3504,41,111275,44,78,135431,12674,1289,7190,3010,1
2549,105,0,2940,33,65780,18,55,81265,19334,721,16732,1773,1
6605,146,0,8983,36,124855,22,17,82262,17629,422,2729,1153,1
1746,81,0,1997,15,44145,43,47,43103,2287,505,1195,1667,0
1850,99,0,2264,17,48095,55,49,117003,4819,477,9659,2041,0
2425,131,0,3349,39,82390,63,49,116877,3882,973,9775,2363,0
2777,143,0,3976,41,106175,49,64,159142,17623,1379,4600,2798,0
1839,97,0,2481,19,47295,41,65,58050,2007,613,5,1909,0
3176,136,0,3892,47,103785,32,59,150826,16998,1051,3048,2178,1
2507,103,1,3153,24,66465,19,58,78298,13978,691,1991,1650,1
2507,139,0,3705,33,92840,50,51,192506,6779,1029,125,2456,0
5479,150,0,7307,29,139925,31,38,154991,25239,495,12843,1686,1
2756,106,0,3233,48,67995,26,78,112456,16848,652,12720,1653,1
2469,134,0,3471,32,85225,56,49,138737,4092,1048,0,2501,0
2578,144,0,3787,31,99750,50,77,136501,9871,1292,4624,2889,0
2848,145,0,3974,59,102355,53,57,208973,20728,1234,0,2660,1
2933,103,0,3182,39,73125,18,75,83024,25197,771,4260,1617,1
2788,134,0,3518,54,96990,50,43,163518,19908,999,5275,2534,1
2753,149,0,3742,43,117410,55,78,161887,23187,1146,16044,2987,1
2699,138,0,3733,43,91510,38,98,140208,24910,958,0,2317,1
2422,135,0,3156,28,85275,47,38,129686,15738,857,1125,2643,0
6188,150,0,8795,39,160650,36,25,154991,22282,573,0,1671,1
3923,71,1,4373,9,32290,10,20,24955,1887,166,400,606,1
6058,149,0,8842,38,131020,34,49,109894,20708,422,720,1374,1
3019,43,0,2012,5,22365,26,0,3421,5334,59,0,638,1
4752,140,0,8702,14,81935,28,23,92702,7189,391,0,1121,0
5253,147,0,8607,47,110610,22,27,99833,10373,316,0,1391,1
2779,148,1,3473,56,131845,45,45,213079,15232,1229,0,3396,1
2501,120,1,3240,38,80135,29,69,114050,20986,864,3134,2196,1
3111,131,0,4199,78,85685,36,41,149525,21059,708,1300,1914,1
2737,137,0,3824,53,97100,47,54,177856,27288,840,3724,2420,1
2302,138,0,3545,48,82510,49,51,123081,8442,787,2940,2487,0
4114,147,0,7093,20,116790,37,20,84492,1902,466,1165,1693,0
2857,95,0,2998,40,57705,12,53,94874,16337,591,1481,1523,1
